id,student_id,date,type,reason,description,amount,balance_after,ref_lesson_id,ref_homework_id,ref_item
34,1,2026-03-17,earn,homework,Uy vazifasi (55 ball),6,391,,16,
35,1,2026-03-14,earn,attendance_late,Kechikdi (8 daq),4,395,18,,
36,1,2026-03-20,earn,homework,Uy vazifasi (60 ball),5,400,,17,
37,1,2026-03-14,earn,activity,Darsdagi faollik / to'g'ri javob,15,415,18,,
38,1,2026-03-17,earn,attendance,Darsga o'z vaqtida keldi,10,425,19,,
39,1,2026-03-19,earn,homework,Uy vazifasi (69 ball),10,435,,18,
40,1,2026-03-19,earn,attendance,Darsga o'z vaqtida keldi,10,445,20,,
41,1,2026-03-26,earn,homework,Uy vazifasi (39 ball),7,452,,19,
42,1,2026-03-24,earn,attendance_late,Kechikdi (20 daq),4,456,21,,
43,1,2026-03-27,earn,homework,Uy vazifasi (82 ball),16,472,,20,
44,1,2026-03-26,earn,attendance,Darsga o'z vaqtida keldi,10,482,22,,
45,1,2026-03-28,earn,attendance,Darsga o'z vaqtida keldi,10,492,23,,
46,1,2026-03-28,earn,homework,Uy vazifasi (53 ball),13,505,,22,
47,1,2026-03-31,earn,attendance_late,Kechikdi (5 daq),4,509,24,,
48,1,2026-03-31,earn,activity,Darsdagi faollik / to'g'ri javob,15,524,24,,
49,1,2026-04-02,earn,attendance,Darsga o'z vaqtida keldi,10,534,25,,
50,1,2026-04-04,earn,attendance,Darsga o'z vaqtida keldi,10,544,26,,
51,1,2026-04-07,earn,homework,Uy vazifasi (75 ball),22,566,,24,
52,1,2026-04-07,penalty,absent_unexcused,Sababsiz qoldirdi,-5,561,27,,
53,1,2026-04-09,earn,attendance_late,Kechikdi (10 daq),4,565,28,,
54,1,2026-04-11,earn,attendance_late,Kechikdi (5 daq),4,569,29,,
55,1,2026-04-18,earn,homework,Uy vazifasi (37 ball),4,573,,27,
56,1,2026-04-14,penalty,absent_unexcused,Sababsiz qoldirdi,-5,568,30,,
57,1,2026-04-16,earn,attendance,Darsga o'z vaqtida keldi,10,578,31,,
58,1,2026-04-16,earn,homework,Uy vazifasi (74 ball),14,592,,29,
59,1,2026-04-16,earn,activity,Darsdagi faollik / to'g'ri javob,5,597,31,,
60,1,2026-04-18,earn,attendance,Darsga o'z vaqtida keldi,10,607,32,,
61,1,2026-04-19,earn,homework,Uy vazifasi (69 ball),13,620,,30,
62,1,2026-04-21,earn,attendance,Darsga o'z vaqtida keldi,10,630,33,,
63,1,2026-04-21,earn,activity,Darsdagi faollik / to'g'ri javob,15,645,33,,
64,1,2026-04-23,earn,attendance,Darsga o'z vaqtida keldi,10,655,34,,
65,1,2026-04-26,earn,homework,Uy vazifasi (68 ball),10,665,,32,
66,1,2026-04-25,earn,attendance,Darsga o'z vaqtida keldi,10,675,35,,
67,1,2026-04-28,earn,homework,Uy vazifasi (75 ball),22,697,,33,
68,1,2026-04-28,earn,attendance,Darsga o'z vaqtida keldi,10,707,36,,
69,1,2026-04-30,earn,attendance,Darsga o'z vaqtida keldi,10,717,37,,
70,1,2026-05-05,earn,homework,Uy vazifasi (55 ball),4,721,,34,
71,1,2026-05-02,earn,attendance,Darsga o'z vaqtida keldi,10,731,38,,
72,1,2026-05-04,earn,homework,Uy vazifasi (68 ball),17,748,,35,
73,1,2026-05-05,earn,attendance_late,Kechikdi (20 daq),4,752,39,,
74,1,2026-05-06,earn,homework,Uy vazifasi (74 ball),18,770,,36,
75,1,2026-05-07,earn,attendance_late,Kechikdi (9 daq),4,774,40,,
76,1,2026-05-08,earn,homework,Uy vazifasi (80 ball),16,790,,37,
77,1,2026-05-12,earn,attendance,Darsga o'z vaqtida keldi,10,800,41,,
78,1,2026-05-19,earn,homework,Uy vazifasi (56 ball),6,806,,38,
79,1,2026-05-14,earn,attendance,Darsga o'z vaqtida keldi,10,816,42,,
80,1,2026-05-16,earn,homework,Uy vazifasi (79 ball),15,831,,39,
81,1,2026-05-16,earn,attendance,Darsga o'z vaqtida keldi,10,841,43,,
82,1,2026-05-17,earn,homework,Uy vazifasi (82 ball),24,865,,40,
83,1,2026-05-19,earn,attendance,Darsga o'z vaqtida keldi,10,875,44,,
84,1,2026-05-21,earn,homework,Uy vazifasi (74 ball),14,889,,41,
85,1,2026-05-21,earn,attendance,Darsga o'z vaqtida keldi,10,899,45,,
86,1,2026-05-22,earn,homework,Uy vazifasi (87 ball),26,925,,42,
87,1,2026-05-23,earn,attendance,Darsga o'z vaqtida keldi,10,935,46,,
88,1,2026-05-26,earn,homework,Uy vazifasi (69 ball),12,947,,43,
89,1,2026-05-26,earn,attendance,Darsga o'z vaqtida keldi,10,957,47,,
90,1,2026-06-02,earn,homework,Uy vazifasi (53 ball),6,963,,44,
91,1,2026-05-28,earn,attendance,Darsga o'z vaqtida keldi,10,973,48,,
92,1,2026-05-30,earn,attendance,Darsga o'z vaqtida keldi,10,983,49,,
93,1,2026-06-03,earn,homework,Uy vazifasi (57 ball),11,994,,45,
94,1,2026-05-30,earn,activity,Darsdagi faollik / to'g'ri javob,15,1009,49,,
95,1,2026-06-02,penalty,absent_unexcused,Sababsiz qoldirdi,-5,1004,50,,
96,1,2026-06-04,earn,attendance,Darsga o'z vaqtida keldi,10,1014,51,,
97,1,2026-06-10,earn,homework,Uy vazifasi (43 ball),5,1019,,47,
98,1,2026-06-06,earn,attendance,Darsga o'z vaqtida keldi,10,1029,52,,
99,1,2026-06-08,earn,homework,Uy vazifasi (65 ball),13,1042,,48,
100,1,2026-06-09,earn,attendance,Darsga o'z vaqtida keldi,10,1052,53,,
101,1,2026-06-14,earn,homework,Uy vazifasi (57 ball),8,1060,,49,
102,1,2026-06-11,earn,attendance,Darsga o'z vaqtida keldi,10,1070,54,,
103,1,2026-06-15,earn,homework,Uy vazifasi (62 ball),12,1082,,51,
104,1,2026-06-16,earn,attendance,Darsga o'z vaqtida keldi,10,1092,56,,
105,1,2026-06-16,earn,homework,Uy vazifasi (81 ball),12,1104,,52,
106,1,2026-06-18,earn,attendance,Darsga o'z vaqtida keldi,10,1114,57,,
107,1,2026-06-21,earn,homework,Uy vazifasi (59 ball),14,1128,,53,
108,1,2026-06-20,earn,attendance,Darsga o'z vaqtida keldi,10,1138,58,,
109,1,2026-06-20,earn,homework,Uy vazifasi (73 ball),14,1152,,54,
110,1,2026-06-20,earn,activity,Darsdagi faollik / to'g'ri javob,10,1162,58,,
111,1,2026-06-23,earn,attendance,Darsga o'z vaqtida keldi,10,1172,59,,
112,1,2026-06-25,earn,attendance,Darsga o'z vaqtida keldi,10,1182,60,,
113,1,2026-06-30,earn,homework,Uy vazifasi (64 ball),12,1194,,56,
114,1,2026-06-30,earn,attendance,Darsga o'z vaqtida keldi,10,1204,62,,
115,1,2026-07-02,earn,attendance,Darsga o'z vaqtida keldi,10,1214,63,,
116,1,2026-07-04,earn,attendance,Darsga o'z vaqtida keldi,10,1224,64,,
117,1,2026-07-04,earn,activity,Darsdagi faollik / to'g'ri javob,5,1229,64,,
118,1,2026-07-07,earn,attendance,Darsga o'z vaqtida keldi,10,1239,65,,
119,1,2026-07-11,earn,homework,Uy vazifasi (72 ball),21,1260,,60,
120,1,2026-07-09,earn,attendance,Darsga o'z vaqtida keldi,10,1270,66,,
121,1,2026-07-09,earn,homework,Uy vazifasi (73 ball),18,1288,,61,
122,1,2026-07-11,earn,attendance_late,Kechikdi (21 daq),4,1292,67,,
123,1,2026-07-13,earn,homework,Uy vazifasi (58 ball),14,1306,,62,
124,1,2026-07-14,earn,attendance,Darsga o'z vaqtida keldi,10,1316,68,,
125,1,2026-07-16,earn,attendance,Darsga o'z vaqtida keldi,10,1326,69,,
126,1,2026-07-19,earn,homework,Uy vazifasi (73 ball),14,1340,,64,
127,1,2026-07-18,earn,attendance,Darsga o'z vaqtida keldi,10,1350,70,,
128,1,2026-07-18,earn,activity,Darsdagi faollik / to'g'ri javob,5,1355,70,,
129,1,2026-07-21,earn,attendance,Darsga o'z vaqtida keldi,10,1365,71,,
130,1,2026-07-29,earn,homework,Uy vazifasi (44 ball),7,1372,,66,
131,1,2026-07-23,earn,attendance,Darsga o'z vaqtida keldi,10,1382,72,,
132,1,2026-07-23,earn,activity,Darsdagi faollik / to'g'ri javob,10,1392,72,,
133,1,2026-07-25,penalty,absent_unexcused,Sababsiz qoldirdi,-5,1387,73,,
134,1,2026-07-28,earn,attendance,Darsga o'z vaqtida keldi,10,1397,74,,
135,1,2026-07-28,earn,homework,Uy vazifasi (73 ball),10,1407,,68,
136,1,2026-07-30,earn,attendance,Darsga o'z vaqtida keldi,10,1417,75,,
137,1,2026-08-07,earn,homework,Uy vazifasi (42 ball),3,1420,,69,
138,1,2026-07-30,earn,activity,Darsdagi faollik / to'g'ri javob,15,1435,75,,
139,1,2026-04-14,earn,makeup_completed,Qoldirilgan darsni yopdi: Pozitsiyalash,10,1445,27,,
140,1,2026-06-08,earn,makeup_completed,Qoldirilgan darsni yopdi: Tailwind kirish,10,1455,50,,
141,1,2026-06-16,earn,makeup_completed,Qoldirilgan darsni yopdi: HTML tuzilishi,10,1465,55,,
142,1,2026-07-03,earn,makeup_completed,Qoldirilgan darsni yopdi: Flexbox,10,1475,61,,
143,2,2026-02-03,earn,attendance,Darsga o'z vaqtida keldi,10,10,1,,
144,2,2026-02-12,earn,homework,Uy vazifasi (43 ball),7,17,,1,
145,2,2026-02-03,earn,activity,Darsdagi faollik / to'g'ri javob,15,32,1,,
146,2,2026-02-05,earn,attendance,Darsga o'z vaqtida keldi,10,42,2,,
147,2,2026-02-05,earn,homework,Uy vazifasi (70 ball),14,56,,2,
148,2,2026-02-07,earn,attendance,Darsga o'z vaqtida keldi,10,66,3,,
149,2,2026-02-10,earn,homework,Uy vazifasi (66 ball),11,77,,3,
150,2,2026-02-07,earn,activity,Darsdagi faollik / to'g'ri javob,5,82,3,,
151,2,2026-02-10,earn,attendance,Darsga o'z vaqtida keldi,10,92,4,,
152,2,2026-02-12,earn,homework,Uy vazifasi (95 ball),23,115,,4,
153,2,2026-02-12,earn,excellent_work,A'lo bajarilgan ish,25,140,,4,
154,2,2026-02-12,earn,attendance,Darsga o'z vaqtida keldi,10,150,5,,
155,2,2026-02-14,earn,attendance,Darsga o'z vaqtida keldi,10,160,6,,
156,2,2026-02-14,earn,homework,Uy vazifasi (56 ball),14,174,,6,
157,2,2026-02-17,earn,attendance,Darsga o'z vaqtida keldi,10,184,7,,
158,2,2026-02-19,earn,homework,Uy vazifasi (69 ball),17,201,,7,
159,2,2026-02-19,earn,attendance,Darsga o'z vaqtida keldi,10,211,8,,
160,2,2026-02-21,earn,homework,Uy vazifasi (71 ball),10,221,,8,
161,2,2026-02-21,earn,attendance,Darsga o'z vaqtida keldi,10,231,9,,
162,2,2026-02-21,earn,homework,Uy vazifasi (66 ball),13,244,,9,
163,2,2026-02-24,earn,attendance,Darsga o'z vaqtida keldi,10,254,10,,
164,2,2026-02-24,earn,streak_bonus,10 ta ketma-ket dars — bonus,50,304,10,,
165,2,2026-02-26,earn,attendance,Darsga o'z vaqtida keldi,10,314,11,,
166,2,2026-02-28,earn,homework,Uy vazifasi (87 ball),21,335,,11,
167,2,2026-02-28,earn,attendance,Darsga o'z vaqtida keldi,10,345,12,,
168,2,2026-03-03,earn,attendance,Darsga o'z vaqtida keldi,10,355,13,,
169,2,2026-03-04,earn,homework,Uy vazifasi (54 ball),10,365,,12,
170,2,2026-03-05,earn,attendance,Darsga o'z vaqtida keldi,10,375,14,,
171,2,2026-03-05,earn,homework,Uy vazifasi (60 ball),12,387,,13,
172,2,2026-03-07,earn,attendance,Darsga o'z vaqtida keldi,10,397,15,,
173,2,2026-03-07,earn,homework,Uy vazifasi (75 ball),11,408,,14,
174,2,2026-03-07,earn,activity,Darsdagi faollik / to'g'ri javob,10,418,15,,
175,2,2026-03-07,spend,shop,Sotib oldi: Pizza kuponi,-250,168,,,Pizza kuponi
176,2,2026-03-10,earn,attendance,Darsga o'z vaqtida keldi,10,178,16,,
177,2,2026-03-10,earn,homework,Uy vazifasi (74 ball),14,192,,15,
178,2,2026-03-15,earn,homework,Uy vazifasi (73 ball),14,206,,16,
179,2,2026-03-14,earn,attendance,Darsga o'z vaqtida keldi,10,216,18,,
180,2,2026-03-16,earn,homework,Uy vazifasi (90 ball),13,229,,17,
181,2,2026-03-14,earn,activity,Darsdagi faollik / to'g'ri javob,5,234,18,,
182,2,2026-03-17,earn,attendance,Darsga o'z vaqtida keldi,10,244,19,,
183,2,2026-03-22,earn,homework,Uy vazifasi (67 ball),6,250,,18,
184,2,2026-03-17,earn,activity,Darsdagi faollik / to'g'ri javob,10,260,19,,
185,2,2026-03-19,earn,attendance,Darsga o'z vaqtida keldi,10,270,20,,
186,2,2026-03-21,earn,homework,Uy vazifasi (81 ball),24,294,,19,
187,2,2026-03-24,earn,attendance,Darsga o'z vaqtida keldi,10,304,21,,
188,2,2026-04-02,earn,homework,Uy vazifasi (52 ball),6,310,,20,
189,2,2026-03-26,earn,attendance,Darsga o'z vaqtida keldi,10,320,22,,
190,2,2026-03-30,earn,homework,Uy vazifasi (71 ball),12,332,,21,
191,2,2026-03-28,earn,attendance,Darsga o'z vaqtida keldi,10,342,23,,
192,2,2026-03-28,earn,homework,Uy vazifasi (86 ball),21,363,,22,
193,2,2026-03-31,earn,attendance,Darsga o'z vaqtida keldi,10,373,24,,
194,2,2026-03-31,earn,activity,Darsdagi faollik / to'g'ri javob,5,378,24,,
195,2,2026-04-02,earn,attendance,Darsga o'z vaqtida keldi,10,388,25,,
196,2,2026-04-04,earn,attendance_late,Kechikdi (20 daq),4,392,26,,
197,2,2026-04-10,earn,homework,Uy vazifasi (60 ball),10,402,,24,
198,2,2026-04-04,earn,activity,Darsdagi faollik / to'g'ri javob,5,407,26,,
199,2,2026-04-07,earn,attendance,Darsga o'z vaqtida keldi,10,417,27,,
200,2,2026-04-09,earn,homework,Uy vazifasi (73 ball),21,438,,25,
201,2,2026-04-09,earn,attendance,Darsga o'z vaqtida keldi,10,448,28,,
202,2,2026-04-11,earn,homework,Uy vazifasi (78 ball),15,463,,26,
203,2,2026-04-14,earn,homework,Uy vazifasi (73 ball),14,477,,27,
204,2,2026-04-14,earn,attendance,Darsga o'z vaqtida keldi,10,487,30,,
205,2,2026-04-20,earn,homework,Uy vazifasi (55 ball),8,495,,28,
206,2,2026-04-16,earn,attendance,Darsga o'z vaqtida keldi,10,505,31,,
207,2,2026-04-18,earn,homework,Uy vazifasi (66 ball),13,518,,29,
208,2,2026-04-16,earn,activity,Darsdagi faollik / to'g'ri javob,10,528,31,,
209,2,2026-04-18,earn,attendance,Darsga o'z vaqtida keldi,10,538,32,,
210,2,2026-04-20,earn,homework,Uy vazifasi (66 ball),13,551,,30,
211,2,2026-04-21,earn,attendance,Darsga o'z vaqtida keldi,10,561,33,,
212,2,2026-04-23,earn,attendance_late,Kechikdi (12 daq),4,565,34,,
213,2,2026-04-26,earn,homework,Uy vazifasi (68 ball),10,575,,32,
214,2,2026-04-25,earn,attendance,Darsga o'z vaqtida keldi,10,585,35,,
215,2,2026-04-28,earn,attendance,Darsga o'z vaqtida keldi,10,595,36,,
216,2,2026-04-30,penalty,absent_unexcused,Sababsiz qoldirdi,-5,590,37,,
217,2,2026-05-08,earn,homework,Uy vazifasi (43 ball),6,596,,35,
218,2,2026-05-06,earn,homework,Uy vazifasi (86 ball),21,617,,36,
219,2,2026-05-07,earn,attendance,Darsga o'z vaqtida keldi,10,627,40,,
220,2,2026-05-09,earn,homework,Uy vazifasi (95 ball),19,646,,37,
221,2,2026-05-09,earn,excellent_work,A'lo bajarilgan ish,25,671,,37,
222,2,2026-05-12,earn,attendance_late,Kechikdi (6 daq),4,675,41,,
223,2,2026-05-14,earn,homework,Uy vazifasi (70 ball),14,689,,38,
224,2,2026-05-14,earn,attendance,Darsga o'z vaqtida keldi,10,699,42,,
225,2,2026-05-19,earn,homework,Uy vazifasi (51 ball),6,705,,39,
226,2,2026-05-16,earn,attendance,Darsga o'z vaqtida keldi,10,715,43,,
227,2,2026-05-19,earn,attendance,Darsga o'z vaqtida keldi,10,725,44,,
228,2,2026-05-20,earn,homework,Uy vazifasi (86 ball),17,742,,41,
229,2,2026-05-21,penalty,absent_unexcused,Sababsiz qoldirdi,-5,737,45,,
230,2,2026-05-23,earn,attendance_late,Kechikdi (10 daq),4,741,46,,
231,2,2026-05-25,earn,homework,Uy vazifasi (77 ball),23,764,,43,
232,2,2026-05-26,penalty,absent_unexcused,Sababsiz qoldirdi,-5,759,47,,
233,2,2026-05-28,earn,attendance_late,Kechikdi (22 daq),4,763,48,,
234,2,2026-05-30,earn,attendance,Darsga o'z vaqtida keldi,10,773,49,,
235,2,2026-06-05,earn,homework,Uy vazifasi (69 ball),8,781,,45,
236,2,2026-06-02,earn,attendance,Darsga o'z vaqtida keldi,10,791,50,,
237,2,2026-06-09,earn,homework,Uy vazifasi (49 ball),8,799,,46,
238,2,2026-06-04,penalty,absent_unexcused,Sababsiz qoldirdi,-5,794,51,,
239,2,2026-06-06,earn,attendance,Darsga o'z vaqtida keldi,10,804,52,,
240,2,2026-06-10,earn,homework,Uy vazifasi (60 ball),7,811,,48,
241,2,2026-06-06,earn,activity,Darsdagi faollik / to'g'ri javob,5,816,52,,
242,2,2026-06-09,earn,attendance_late,Kechikdi (8 daq),4,820,53,,
243,2,2026-06-09,earn,homework,Uy vazifasi (56 ball),14,834,,49,
244,2,2026-06-13,earn,homework,Uy vazifasi (67 ball),13,847,,50,
245,2,2026-06-13,earn,attendance,Darsga o'z vaqtida keldi,10,857,55,,
246,2,2026-06-13,earn,homework,Uy vazifasi (67 ball),13,870,,51,
247,2,2026-06-13,earn,activity,Darsdagi faollik / to'g'ri javob,10,880,55,,
248,2,2026-06-16,earn,attendance_late,Kechikdi (12 daq),4,884,56,,
249,2,2026-06-18,earn,attendance_late,Kechikdi (12 daq),4,888,57,,
250,2,2026-06-20,earn,homework,Uy vazifasi (59 ball),14,902,,53,
251,2,2026-06-18,earn,activity,Darsdagi faollik / to'g'ri javob,10,912,57,,
252,2,2026-06-20,earn,attendance,Darsga o'z vaqtida keldi,10,922,58,,
253,2,2026-06-23,earn,attendance,Darsga o'z vaqtida keldi,10,932,59,,
254,2,2026-06-25,earn,homework,Uy vazifasi (81 ball),20,952,,55,
255,2,2026-06-25,earn,attendance,Darsga o'z vaqtida keldi,10,962,60,,
256,2,2026-06-25,earn,activity,Darsdagi faollik / to'g'ri javob,5,967,60,,
257,2,2026-06-27,earn,attendance,Darsga o'z vaqtida keldi,10,977,61,,
258,2,2026-06-29,earn,homework,Uy vazifasi (77 ball),15,992,,56,
259,2,2026-06-30,penalty,absent_unexcused,Sababsiz qoldirdi,-5,987,62,,
260,2,2026-07-02,earn,attendance,Darsga o'z vaqtida keldi,10,997,63,,
261,2,2026-07-08,earn,homework,Uy vazifasi (60 ball),9,1006,,58,
262,2,2026-07-04,earn,attendance,Darsga o'z vaqtida keldi,10,1016,64,,
263,2,2026-07-06,earn,homework,Uy vazifasi (73 ball),21,1037,,59,
264,2,2026-07-07,earn,attendance,Darsga o'z vaqtida keldi,10,1047,65,,
265,2,2026-07-09,earn,homework,Uy vazifasi (77 ball),23,1070,,60,
266,2,2026-07-09,earn,attendance_late,Kechikdi (23 daq),4,1074,66,,
267,2,2026-07-11,earn,homework,Uy vazifasi (78 ball),19,1093,,61,
268,2,2026-07-11,earn,attendance,Darsga o'z vaqtida keldi,10,1103,67,,
269,2,2026-07-11,earn,homework,Uy vazifasi (72 ball),18,1121,,62,
270,2,2026-07-14,earn,attendance,Darsga o'z vaqtida keldi,10,1131,68,,
271,2,2026-07-16,earn,attendance,Darsga o'z vaqtida keldi,10,1141,69,,
272,2,2026-07-20,earn,homework,Uy vazifasi (65 ball),13,1154,,64,
273,2,2026-07-18,earn,attendance,Darsga o'z vaqtida keldi,10,1164,70,,
274,2,2026-07-21,earn,homework,Uy vazifasi (62 ball),5,1169,,65,
275,2,2026-07-21,earn,attendance,Darsga o'z vaqtida keldi,10,1179,71,,
276,2,2026-07-25,earn,homework,Uy vazifasi (74 ball),22,1201,,66,
277,2,2026-07-23,earn,attendance,Darsga o'z vaqtida keldi,10,1211,72,,
278,2,2026-07-23,earn,activity,Darsdagi faollik / to'g'ri javob,10,1221,72,,
279,2,2026-07-25,earn,attendance,Darsga o'z vaqtida keldi,10,1231,73,,
280,2,2026-07-28,earn,homework,Uy vazifasi (59 ball),11,1242,,67,
281,2,2026-07-28,earn,attendance,Darsga o'z vaqtida keldi,10,1252,74,,
282,2,2026-07-29,earn,homework,Uy vazifasi (74 ball),11,1263,,68,
283,2,2026-07-28,earn,activity,Darsdagi faollik / to'g'ri javob,5,1268,74,,
284,2,2026-07-30,earn,attendance,Darsga o'z vaqtida keldi,10,1278,75,,
285,2,2026-07-31,earn,homework,Uy vazifasi (77 ball),11,1289,,69,
286,2,2026-04-13,earn,makeup_completed,Qoldirilgan darsni yopdi: Media queries,10,1299,29,,
287,2,2026-05-11,earn,makeup_completed,Qoldirilgan darsni yopdi: Teglar va atributlar,10,1309,38,,
288,2,2026-05-13,earn,makeup_completed,Qoldirilgan darsni yopdi: Ro'yxatlar va jadvallar,10,1319,39,,
289,2,2026-06-02,earn,makeup_completed,Qoldirilgan darsni yopdi: Media queries,10,1329,47,,
290,2,2026-06-16,earn,makeup_completed,Qoldirilgan darsni yopdi: Loyiha himoyasi,10,1339,54,,
291,2,2026-07-02,earn,makeup_completed,Qoldirilgan darsni yopdi: Grid,10,1349,62,,
292,3,2026-02-03,earn,attendance,Darsga o'z vaqtida keldi,10,10,1,,
293,3,2026-02-06,earn,homework,Uy vazifasi (62 ball),18,28,,1,
294,3,2026-02-12,earn,homework,Uy vazifasi (46 ball),5,33,,2,
295,3,2026-02-07,earn,attendance,Darsga o'z vaqtida keldi,10,43,3,,
296,3,2026-02-09,earn,homework,Uy vazifasi (74 ball),22,65,,3,
297,3,2026-02-10,earn,attendance,Darsga o'z vaqtida keldi,10,75,4,,
298,3,2026-02-13,earn,homework,Uy vazifasi (81 ball),20,95,,4,
299,3,2026-02-12,earn,attendance_late,Kechikdi (20 daq),4,99,5,,
300,3,2026-02-13,earn,homework,Uy vazifasi (71 ball),14,113,,5,
301,3,2026-02-12,earn,activity,Darsdagi faollik / to'g'ri javob,5,118,5,,
302,3,2026-02-14,earn,attendance,Darsga o'z vaqtida keldi,10,128,6,,
303,3,2026-02-14,earn,homework,Uy vazifasi (68 ball),17,145,,6,
304,3,2026-02-17,earn,attendance,Darsga o'z vaqtida keldi,10,155,7,,
305,3,2026-02-17,earn,homework,Uy vazifasi (50 ball),12,167,,7,
306,3,2026-02-19,earn,attendance,Darsga o'z vaqtida keldi,10,177,8,,
307,3,2026-02-19,earn,homework,Uy vazifasi (83 ball),12,189,,8,
308,3,2026-02-21,earn,attendance,Darsga o'z vaqtida keldi,10,199,9,,
309,3,2026-02-22,earn,homework,Uy vazifasi (62 ball),12,211,,9,
310,3,2026-02-24,earn,attendance,Darsga o'z vaqtida keldi,10,221,10,,
311,3,2026-03-02,earn,homework,Uy vazifasi (49 ball),4,225,,10,
312,3,2026-02-26,earn,attendance,Darsga o'z vaqtida keldi,10,235,11,,
313,3,2026-02-28,earn,homework,Uy vazifasi (74 ball),18,253,,11,
314,3,2026-02-26,earn,activity,Darsdagi faollik / to'g'ri javob,5,258,11,,
315,3,2026-02-28,earn,attendance_late,Kechikdi (25 daq),4,262,12,,
316,3,2026-03-03,earn,attendance,Darsga o'z vaqtida keldi,10,272,13,,
317,3,2026-03-03,earn,homework,Uy vazifasi (60 ball),12,284,,12,
318,3,2026-03-05,earn,attendance,Darsga o'z vaqtida keldi,10,294,14,,
319,3,2026-03-05,earn,homework,Uy vazifasi (76 ball),15,309,,13,
320,3,2026-03-07,earn,attendance,Darsga o'z vaqtida keldi,10,319,15,,
321,3,2026-03-09,earn,homework,Uy vazifasi (72 ball),10,329,,14,
322,3,2026-03-10,earn,attendance,Darsga o'z vaqtida keldi,10,339,16,,
323,3,2026-03-10,earn,homework,Uy vazifasi (66 ball),13,352,,15,
324,3,2026-03-12,earn,attendance,Darsga o'z vaqtida keldi,10,362,17,,
325,3,2026-03-14,earn,attendance,Darsga o'z vaqtida keldi,10,372,18,,
326,3,2026-03-22,earn,homework,Uy vazifasi (53 ball),4,376,,17,
327,3,2026-03-17,penalty,absent_unexcused,Sababsiz qoldirdi,-5,371,19,,
328,3,2026-03-19,earn,attendance,Darsga o'z vaqtida keldi,10,381,20,,
329,3,2026-03-22,earn,homework,Uy vazifasi (48 ball),8,389,,19,
330,3,2026-03-24,earn,attendance,Darsga o'z vaqtida keldi,10,399,21,,
331,3,2026-03-24,earn,activity,Darsdagi faollik / to'g'ri javob,5,404,21,,
332,3,2026-03-24,spend,shop,Sotib oldi: Termokruzhka,-380,24,,,Termokruzhka
333,3,2026-03-26,earn,attendance,Darsga o'z vaqtida keldi,10,34,22,,
